"coursename","strm","enrollment"
"FOODRES801","1002","1"
"CTL117","1002","15"
"UAC199","1002","1"
"SPEC802","1002","1"
"IIS195","1002","11"
"BUSINESS200E","1002","366"
"BUSINESS209E","1002","48"
"BUSINESS210A","1002","364"
"BUSINESS219A","1002","48"
"BUSINESS230P","1002","364"
"BUSINESS235P","1002","364"
"BUSINESS239P","1002","48"
"BUSINESS255T","1002","96"
"BUSINESS265T","1002","366"
"BUSINESS269T","1002","48"
"BUSINESS270R","1002","364"
"BUSINESS275T","1002","365"
"BUSINESS279R","1002","48"
"BUSINESS285R","1002","364"
"BUSINESS300E","1002","130"
"BUSINESS309I","1002","19"
"BUSINESS312A","1002","53"
"BUSINESS317A","1002","64"
"BUSINESS321F","1002","120"
"BUSINESS324F","1002","41"
"BUSINESS326F","1002","41"
"BUSINESS328F","1002","52"
"BUSINESS332E","1002","12"
"BUSINESS332P","1002","48"
"BUSINESS333P","1002","66"
"BUSINESS343M","1002","62"
"BUSINESS353S","1002","66"
"BUSINESS358S","1002","67"
"BUSINESS360R","1002","66"
"BUSINESS361T","1002","61"
"BUSINESS362T","1002","64"
"BUSINESS368S","1002","17"
"BUSINESS370S","1002","66"
"BUSINESS371S","1002","66"
"BUSINESS374R","1002","36"
"BUSINESS381R","1002","132"
"BUSINESS390","1002","77"
"BUSINESS390X","1002","32"
"BUSINESS399G","1002","18"
"BUSINESS575T","1002","64"
"BUSINESS576P","1002","20"
"BUSINESS577P","1002","24"
"BUSINESS616T","1002","2"
"BUSINESS619E","1002","6"
"BUSINESS621F","1002","13"
"BUSINESS622F","1002","12"
"BUSINESS646G","1002","13"
"BUSINESS664T","1002","9"
"BUSINESS680P","1002","4"
"BUSINESS691","1002","12"
"BUSINESS691X","1002","11"
"BUSINESS692","1002","3"
"BUSINESS692X","1002","5"
"BUSINESS802","1002","15"
"BUSINESS802X","1002","9"
"EDUC50","1002","14"
"EDUC54","1002","14"
"EDUC136","1002","2"
"EDUC160","1002","32"
"EDUC170","1002","21"
"EDUC171X","1002","32"
"EDUC179","1002","20"
"EDUC180","1002","26"
"EDUC190","1002","10"
"EDUC192A","1002","22"
"EDUC193A","1002","18"
"EDUC193B","1002","6"
"EDUC193C","1002","4"
"EDUC194","1002","24"
"EDUC199A","1002","12"
"EDUC201","1002","65"
"EDUC202","1002","24"
"EDUC203X","1002","63"
"EDUC203Y","1002","33"
"EDUC204","1002","29"
"EDUC206A","1002","13"
"EDUC211","1002","17"
"EDUC216","1002","19"
"EDUC219","1002","19"
"EDUC220C","1002","5"
"EDUC229B","1002","18"
